numNodes,speed,packetRate,Throughput (kbps),End-to-End Delay (s),PDR (%),Packet Drop Ratio (%)
20,16,150,341.37395833333335,0.08733192125058457,23.706577974870658,76.25646711012564
40,16,150,487.92083333333335,0.19328225811953992,23.312858144040895,75.75132951313023
70,16,150,507.1770833333333,0.309826030317463,18.576127921922314,80.28669150164477
90,16,150,357.60052083333335,0.30448695567497513,17.6759410801964,80.2484054025116
50,5,150,366.309375,0.31944630676545493,20.083842682965855,79.84575506416205
50,10,150,379.1822916666667,0.2234510754605243,22.181527192145516,77.26447323874304
50,15,150,281.4328125,0.29165086444405514,18.262779065511772,80.63620836891545
50,20,150,281.19322916666664,0.327014233155315,16.866024932933566,82.32917784440586
50,16,100,226.77447916666668,0.40293900820184103,14.089586233076046,85.64785524484373
50,16,200,209.34270833333332,0.3346081065044907,12.529370883939503,87.07681106661813
50,16,250,237.72864583333333,0.33181997896470317,15.045285723594187,84.3226689255229
50,16,300,223.46197916666668,0.25055528736924537,16.777232958369385,82.97279107778098
