numNodes,speed,packetRate,Throughput (kbps),End-to-End Delay (s),PDR (%),Packet Drop Ratio (%)
20,16,150,360.715625,0.08878971790930952,26.536007292616226,73.4457611668186
40,16,150,568.1010416666667,0.2695443356522285,22.78315735256245,76.17821272212207
70,16,150,494.82604166666664,0.34430133292594145,19.90970532576372,79.52933225195999
90,16,150,373.30260416666664,0.3751650854121922,17.70311277960269,80.1586109807602
50,5,150,413.5671875,0.29261811284513456,22.450497350562422,77.13736791546589
50,10,150,363.5552083333333,0.2971939851590322,20.72857477495566,78.22457584579861
50,15,150,299.10052083333335,0.2639290103314139,18.589096601897044,79.72023206556773
50,20,150,308.7625,0.3214979199950523,17.980095644306576,81.41243375985525
50,16,100,321.8765625,0.3479198476290657,14.714543872565425,85.28880262365304
50,16,200,288.8755208333333,0.3169063558863669,19.896019013666074,79.30778371954842
50,16,250,231.09635416666666,0.33198343733293845,15.028609447771123,84.85495675316035
50,16,300,194.64583333333334,0.2973182539385494,14.391399147965517,85.29998993660058
